keys,en_EN,ru_RU
uiReset,Reset,Сброс
dateToday,Today,Сегодня
dateMonthJan,january,январь
dateMonthFeb,february,февраль
dateMonthMar,march,март
dateMonthApr,april,апрель
dateMonthMay,may,май
dateMonthJun,june,июнь
dateMonthJul,july,июль
dateMonthAug,august,август
dateMonthSep,september,сентябрь
dateMonthOct,october,октябрь
dateMonthNov,november,ноябрь
dateMonthDec,december,декабрь
dateWeekMo,Mo,Пн
dateWeekTu,Tu,Вт
dateWeekWe,We,Ср
dateWeekTh,Th,Чт
dateWeekFr,Fr,Пт
dateWeekSa,Sa,Сб
dateWeekSu,Su,Вс